date,open,high,low,close,volume,ticker,pulled_at
2016-04-01,29.43201010413503,30.12179746616944,27.904162968299897,29.158029556274414,23887500,DOL.TO,2026-03-15 16:12:26
2016-05-01,29.303167712102606,29.922725332416466,28.277023095423587,29.13859748840332,29293800,DOL.TO,2026-03-15 16:12:26
2016-06-01,29.03855937242835,30.613267995024124,28.20280005492689,29.1063232421875,27843300,DOL.TO,2026-03-15 16:12:26
2016-07-01,29.180542002415443,31.671682322211865,28.886897319456388,31.152156829833984,16192200,DOL.TO,2026-03-15 16:12:26
2016-08-01,31.25103824056844,32.43660257879115,30.75678630545974,31.302724838256836,17852100,DOL.TO,2026-03-15 16:12:26
2016-09-01,31.90035390466071,33.89997939876928,31.31241838943569,33.08914566040039,23367600,DOL.TO,2026-03-15 16:12:26
2016-10-01,33.23134979766369,33.59350874221134,31.847384334440473,32.4100227355957,16105500,DOL.TO,2026-03-15 16:12:26
2016-11-01,32.335646156052185,33.48356262518719,30.159458468262756,32.30654525756836,19560600,DOL.TO,2026-03-15 16:12:26
2016-12-01,32.636368857362555,33.43829399438479,31.203900819485575,31.81180763244629,25853400,DOL.TO,2026-03-15 16:12:26
2017-01-01,31.924994379601117,32.63637908858123,31.304150350059707,31.866788864135742,18368700,DOL.TO,2026-03-15 16:12:26
2017-02-01,31.90230816002045,33.81204508661971,31.627177133958508,33.106414794921875,16490100,DOL.TO,2026-03-15 16:12:26
2017-03-01,33.35887523749754,36.149031221662206,31.39734957730387,35.6732177734375,31522200,DOL.TO,2026-03-15 16:12:26
2017-04-01,35.53727494757035,39.246694027790994,35.09382565573555,38.68024444580078,25090500,DOL.TO,2026-03-15 16:12:26
2017-05-01,38.84915863405814,40.815750890379356,38.39233723241558,40.54036331176758,18011400,DOL.TO,2026-03-15 16:12:26
2017-06-01,40.501486308729504,42.87630664990637,39.03707197629197,40.145103454589844,24046800,DOL.TO,2026-03-15 16:12:26
2017-07-01,40.19370947087968,40.71208666810879,38.418268497301526,39.48418045043945,15836400,DOL.TO,2026-03-15 16:12:26
2017-08-01,39.480432918735616,40.51487096350366,38.4784255515111,39.908477783203125,16902300,DOL.TO,2026-03-15 16:12:26
2017-09-01,39.96360957139044,45.46006265183364,39.14319386728212,44.273216247558594,32275800,DOL.TO,2026-03-15 16:12:26
2017-10-01,44.35427552577909,46.83821862649709,44.14997973090379,46.569068908691406,16289700,DOL.TO,2026-03-15 16:12:26
2017-11-01,46.7980092087294,54.07409561660268,46.0288630426698,51.1824836730957,26139900,DOL.TO,2026-03-15 16:12:26
2017-12-01,50.99101085737147,51.82506688609532,43.90640368501667,50.968292236328125,27365700,DOL.TO,2026-03-15 16:12:26
2018-01-01,50.80602077670107,55.171022404855776,49.46568915112399,54.58036804199219,21808500,DOL.TO,2026-03-15 16:12:26
2018-02-01,54.37872511500519,54.72622404644813,47.87042521740069,48.503719329833984,23907900,DOL.TO,2026-03-15 16:12:26
2018-03-01,48.39655964076132,53.53759996827677,47.89317330195196,50.85178756713867,23449500,DOL.TO,2026-03-15 16:12:26
2018-04-01,51.15057722590103,51.65721196061235,47.136475825215285,48.00035095214844,14855400,DOL.TO,2026-03-15 16:12:26
2018-05-01,48.03574011893649,49.823391125909,47.69446325159678,48.640289306640625,15540000,DOL.TO,2026-03-15 16:12:26
2018-06-01,49.03357109393682,52.65437150391149,47.34343052608227,49.69012451171875,29878400,DOL.TO,2026-03-15 16:12:26
2018-07-01,50.080157494452344,50.0899066671765,45.04874001083056,45.82880401611328,16049200,DOL.TO,2026-03-15 16:12:26
2018-08-01,46.10911653927561,49.50508912021954,44.13789036961603,48.158409118652344,16349000,DOL.TO,2026-03-15 16:12:26
2018-09-01,48.39261240005406,51.22259121371817,39.336686152470605,39.7075080871582,31727700,DOL.TO,2026-03-15 16:12:26
2018-10-01,40.156395454961405,40.18566988509365,34.30127118289438,35.530845642089844,30715500,DOL.TO,2026-03-15 16:12:26
2018-11-01,32.72401435638332,37.81333032166771,32.440730949724184,34.306488037109375,26650500,DOL.TO,2026-03-15 16:12:26
2018-12-01,34.67768928510672,37.305377638751175,29.988875704500106,31.717876434326172,28933400,DOL.TO,2026-03-15 16:12:26
2019-01-01,31.32712805119925,35.0000332434461,30.47728183345952,34.55068588256836,16864600,DOL.TO,2026-03-15 16:12:26
2019-02-01,34.69793683771632,36.43870025406676,33.876452265726115,34.8348503112793,11390800,DOL.TO,2026-03-15 16:12:26
2019-03-01,35.128242098246645,37.553580705366784,32.27260713627639,34.86419677734375,23489200,DOL.TO,2026-03-15 16:12:26
2019-04-01,34.92285861544488,41.33826064148919,34.92285861544488,39.35300827026367,18792300,DOL.TO,2026-03-15 16:12:26
2019-05-01,39.51525173986365,43.10843556884302,38.43827288208992,41.79648208618164,14324800,DOL.TO,2026-03-15 16:12:26
2019-06-01,41.74753384275573,46.887650067233814,40.73909318815449,45.105743408203125,21053600,DOL.TO,2026-03-15 16:12:26
2019-07-01,46.50581152338097,49.677999047469704,46.22188040929418,47.87651062011719,14918300,DOL.TO,2026-03-15 16:12:26
2019-08-01,47.90955559649628,51.07478048046701,46.81201720899303,49.928245544433594,12887800,DOL.TO,2026-03-15 16:12:26
2019-09-01,49.73224810572092,50.31041626278327,45.67527319333611,46.47882843017578,16735000,DOL.TO,2026-03-15 16:12:26
2019-10-01,46.56703135124637,47.282391436310526,43.00982655504223,43.42140579223633,13699800,DOL.TO,2026-03-15 16:12:26
2019-11-01,43.64782360098785,48.42456190022168,43.628206152619136,47.65950012207031,9263900,DOL.TO,2026-03-15 16:12:26
2019-12-01,47.60063758880161,48.50302131239303,42.43155891184431,43.775325775146484,19133000,DOL.TO,2026-03-15 16:12:26
2020-01-01,43.84400103496031,46.845400002210305,43.70668261706603,44.226531982421875,13686900,DOL.TO,2026-03-15 16:12:26
