ticker,name,currency,fiscal_year,revt,cogs,ni,epspx,at,dltt,che,oancf,capx
DLTR,Dollar Tree,USD,2025,17578,11284,-3030,-14.05,18644,2431,1256,2862,1300
DG,Dollar General,USD,2025,40612,28595,1125,5.11,31133,5719,933,2996,1310
